time	obj_x	obj_y	setspd_x	setspd_y	spd_x	spd_y	step_x	step_y
131708017	556.9650	396.5110	243.4475	160.8599	243.4475	160.8599	475	337
131720011	556.9650	396.5110	243.4475	160.8599	243.4475	160.8599	478	339
131732006	556.9650	396.5110	243.4475	160.8599	243.4475	160.8599	481	341
131744001	556.9650	396.5110	243.4475	160.8599	243.4475	160.8599	484	343
131756014	556.9650	396.5110	243.4475	160.8599	243.4475	160.8599	487	345
131768017	556.1980	387.4170	242.2970	152.6753	242.2970	152.6753	490	347
131780011	556.1980	387.4170	242.2970	152.6753	242.2970	152.6753	493	348
131792005	556.1980	387.4170	242.2970	152.6753	242.2970	152.6753	496	350
131804000	556.1980	387.4170	242.2970	152.6753	242.2970	152.6753	499	352
131816013	556.1980	387.4170	242.2970	152.6753	242.2970	152.6753	502	354
131828010	555.1060	385.7500	240.6590	151.1750	240.6590	151.1750	504	356
131840001	555.1060	385.7500	240.6590	151.1750	240.6590	151.1750	507	358
131852015	555.1060	385.7500	240.6590	151.1750	240.6590	151.1750	510	359
131864008	555.1060	385.7500	240.6590	151.1750	240.6590	151.1750	513	361
131876003	555.1060	385.7500	240.6590	151.1750	240.6590	151.1750	516	363
131888016	555.1060	385.7500	240.6590	151.1750	240.6590	151.1750	519	365
131900018	555.0680	378.0470	240.6020	144.2423	240.6020	144.2423	522	367
131912013	555.0680	378.0470	240.6020	144.2423	240.6020	144.2423	525	368
131924007	555.0680	378.0470	240.6020	144.2423	240.6020	144.2423	528	370
131936002	555.0680	378.0470	240.6020	144.2423	240.6020	144.2423	530	372
131948576	554.9750	371.9260	240.4625	138.7334	240.6020	144.2423	533	373
131961002	554.9750	371.9260	240.4625	138.7334	240.4625	138.7334	536	375
131973000	554.9750	371.9260	240.4625	138.7334	240.4625	138.7334	539	377
131985013	554.9750	371.9260	240.4625	138.7334	240.4625	138.7334	542	379
131997006	554.9750	371.9260	240.4625	138.7334	240.4625	138.7334	545	380
132009893	554.4470	367.9790	239.6705	135.1811	240.4625	138.7334	548	382
132022001	554.4470	367.9790	239.6705	135.1811	239.6705	135.1811	551	384
132034015	554.4470	367.9790	239.6705	135.1811	239.6705	135.1811	554	385
132046008	554.4470	367.9790	239.6705	135.1811	239.6705	135.1811	557	387
132058003	554.4470	367.9790	239.6705	135.1811	239.6705	135.1811	560	389
132071241	554.9740	364.2080	240.4610	131.7872	239.6705	135.1811	563	390
132083014	554.9740	364.2080	240.4610	131.7872	240.4610	131.7872	566	392
132095009	554.9740	364.2080	240.4610	131.7872	240.4610	131.7872	569	394
132107004	554.9740	364.2080	240.4610	131.7872	240.4610	131.7872	572	395
132119017	554.9740	364.2080	240.4610	131.7872	240.4610	131.7872	574	397
132131001	554.1710	359.6800	239.2565	127.7006	239.2565	127.7006	577	398
132143015	554.1710	359.6800	239.2565	127.7006	239.2565	127.7006	580	400
132155008	554.1710	359.6800	239.2565	127.7006	239.2565	127.7006	583	401
132167003	554.1710	359.6800	239.2565	127.7006	239.2565	127.7006	586	403
132179016	554.1710	359.6800	239.2565	127.7006	239.2565	127.7006	589	404
132191008	552.2060	355.6350	236.3090	123.9097	236.3090	123.9097	592	406
132203004	552.2060	355.6350	236.3090	123.9097	236.3090	123.9097	594	407
132215018	552.2060	355.6350	236.3090	123.9097	236.3090	123.9097	597	409
132227011	552.2060	355.6350	236.3090	123.9097	236.3090	123.9097	600	410
132239006	552.2060	355.6350	236.3090	123.9097	236.3090	123.9097	603	412
132251000	550.0500	352.0630	233.0750	120.4106	233.0750	120.4106	606	413
132263014	550.0500	352.0630	233.0750	120.4106	233.0750	120.4106	609	415
132275007	550.0500	352.0630	233.0750	120.4106	233.0750	120.4106	611	416
132287002	550.0500	352.0630	233.0750	120.4106	233.0750	120.4106	614	418
132299015	550.0500	352.0630	233.0750	120.4106	233.0750	120.4106	617	419
132311009	546.7070	348.7160	228.0605	116.9911	228.0605	116.9911	620	421
132323003	546.7070	348.7160	228.0605	116.9911	228.0605	116.9911	623	422
132335016	546.7070	348.7160	228.0605	116.9911	228.0605	116.9911	625	423
132347010	546.7070	348.7160	228.0605	116.9911	228.0605	116.9911	628	425
132359005	546.7070	348.7160	228.0605	116.9911	228.0605	116.9911	631	426
132371011	545.2650	346.4590	225.8975	114.4730	225.8975	114.4730	633	428
132383010	545.2650	346.4590	225.8975	114.4730	225.8975	114.4730	636	429
132395006	545.2650	346.4590	225.8975	114.4730	225.8975	114.4730	639	430
132407001	545.2650	346.4590	225.8975	114.4730	225.8975	114.4730	642	432
132419014	545.2650	346.4590	225.8975	114.4730	225.8975	114.4730	644	433
132431015	541.8850	342.5500	220.8275	110.3264	220.8275	110.3264	647	434
132443011	541.8850	342.5500	220.8275	110.3264	220.8275	110.3264	650	436
132455005	541.8850	342.5500	220.8275	110.3264	220.8275	110.3264	652	437
132467000	541.8850	342.5500	220.8275	110.3264	220.8275	110.3264	655	438
132479013	541.8850	342.5500	220.8275	110.3264	220.8275	110.3264	658	440
132491011	542.7170	337.5480	222.0755	105.0173	222.0755	105.0173	660	441
132503008	542.7170	337.5480	222.0755	105.0173	222.0755	105.0173	663	442
132515005	542.7170	337.5480	222.0755	105.0173	222.0755	105.0173	666	444
132527018	542.7170	337.5480	222.0755	105.0173	222.0755	105.0173	668	445
132539011	542.7170	337.5480	222.0755	105.0173	222.0755	105.0173	671	446
132551017	541.8020	333.7680	220.7030	100.6725	220.7030	100.6725	674	447
132563009	541.8020	333.7680	220.7030	100.6725	220.7030	100.6725	676	449
132575004	541.8020	333.7680	220.7030	100.6725	220.7030	100.6725	679	450
132587017	541.8020	333.7680	220.7030	100.6725	220.7030	100.6725	682	451
132599011	541.8020	333.7680	220.7030	100.6725	220.7030	100.6725	684	452
132611003	542.7320	328.0550	222.0980	94.3757	222.0980	94.3757	687	453
132623013	542.7320	328.0550	222.0980	94.3757	222.0980	94.3757	689	454
132635006	542.7320	328.0550	222.0980	94.3757	222.0980	94.3757	692	456
132647012	542.7320	328.0550	222.0980	94.3757	222.0980	94.3757	695	457
132659005	542.7320	328.0550	222.0980	94.3757	222.0980	94.3757	697	458
132671003	541.8620	327.7150	220.7930	93.0067	220.7930	93.0067	700	459
132683013	541.8620	327.7150	220.7930	93.0067	220.7930	93.0067	703	460
132695006	541.8620	327.7150	220.7930	93.0067	220.7930	93.0067	705	461
